dialect,standard,response
"경허주게 , 경헌디 그 ᄉᆞ삼사건 후에 저 산 고지 간에 이젠 숫을 묻엇주 . 묻으난 허가 잘 아이 마탓젠 .","그렇지 , 그런데 그 사삼사건 후에 저 산 숲에 가서 이젠 숯을 묻었지 . 묻으니까 허가 잘 안 받았다고 .","경험만큼 , 경험한 그 사건 후에 저 산 고지 가서 이제 숫을 묻었어요 . 묻은 건 제가 잘 모르겠어요 ."
"으 , 다간 날 때 다 사레 온다 . 두 설 뒐 때 사레 오면 거 ᄑᆞᆯ고 . 겨고 주로이 그 밧갈쉐라고 잇저 , 밧갈쉐 .","으 , 두습 될 때 다 사러 온다 . 두 살 될 때 사러 오면 거 팔고 . 그리고 주로 그 밧갈쉐라고 있어 , 밧갈쉐 .","으 , 다 가끔 날 때 다 살래 온다 . 두번 설 때 살래 오면 그냥 팔아버린다 . 그거 주로 그 밭갈쌀이라고 하는데 , 밭갈쌀이야 ."
"아 , ᄆᆞ루 대예 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 거라예 ? 아까 저기 ?","아 , 마루 대요 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 거지요 ? 아까 저기 ?","아 , 그럴 대로요 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 거죠 ? 아까 거기 ?"
"밥 , 식은밥을 헤 가지고 거기 놔 가지고이 이제 누르뜨난 경 뒈엇젠 .","밥 , 찬밥을 해 가지고 거기 놔 가지고 이제 누르니까 그렇게 되었다고 .","밥 , 식은밥을 얹어서 거기 놔두고 이제 저녁먹었나봐요 ."
바당에 정 강 컷다근에 .,바다에 지어서 가서 잠갔다가 .,바다에서 정 놀이 하고 왔어요 .
아 이듸 이듸 자리젓만 헹 먹언 . 자리젓 .,아 여기 여기 자리젓만 해서 먹었어 . 자리젓 .,"아, 이러니까 이러니까 자리 정말 많이 먹는구나. 자리 정리."
"예 , 예 . 맞수다 . 보통 ᄎᆞᆯ레 옛날에 셍각 한 번 헤봅서 . ᄎᆞᆯ레 뭐 , 뭐 ᄎᆞᆯ령 먹엇수과 ? ᄎᆞᆯ레들 .","예 , 예 . 맞습니다 . 보통 반찬 옛날에 생각 한 번 해보십시오 반찬 뭐 , 뭐 차려서 먹었습니까 ? 반찬들 .","예, 예. 맞습니다. 보통 저희들 옛날에 추석 한 번 해보면서. 추석 뭐, 뭐 제사 먹었었지? 제사들."
"무신걸로 멘든 거라 , 그건 ?","무엇으로 만든 거야 , 그건 ?","무슨 걸로 만든 거야 , 그건?"
사혼이엔 허믄 남자도 죽고 여자도 죽고 다헤근엥 헤주 . 구신으로 데 로오는 건데 .,사혼이라고 하면 남자도 죽고 여자도 죽고 다해서 하지 . 귀신으로 데려오는 건데 .,사흘 전에 한 남자도 죽고 여자도 죽고 다 해서 여기에 데려와요 . 구신으로 데리고 가는 건데 .
또 ᄌᆞᆫ 자리 ᄒᆞᆯ 떼는 그보단 약허게 놓고 .,또 조그마한 자리 할 때는 그보다는 약하게 넣고 .,또 진짜 자리를 뺏긴 그보다는 조금 약하게 놓고 .
