dialect,standard,response,BLEU_score,ori_sim,new_sim,relative_sim,dialect_correction,standard_preserve
"응 , 웨가칩이서 갈아나고 요디 우리 친정은 수망린디 안 갈안 .",응 외갓집에서 갈았었고 요기 우리 친정은 수망린데 안 갈았어 .,"네, 왜가지치프에서 바뀌고요. 우리 집은 수망리로 안 갈 거예요.",0.027,0.726,0.591,0.814,0.0,0.308
"저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , ᄉᆞ월 말일에 저거 놓기 시작헌다 . 오월 초로구나 , 오월 초 .","저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , 사월 말일에 저거 놓기 시작한다 . 오월 초로구나 오월 초 .","저 수박은 지금부터 내가 수확하는 것이고, 지금은 5월 경이니, 5월 말에 수확을 시작한다는 것이다. 즉, 지금은 5월 초이다.",0.023,0.987,0.818,0.829,0.5,0.278
하여튼 고네할미는 잘 나 .,하여튼 달개비는 잘 나 .,어쨌든 할머니는 잘 계셔요.,0.048,0.519,0.188,0.362,0.0,0.286
게난 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지엇고예,그러니까 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지었고요 ?,제 어머니는 협재로 가도 쇼핑이나 그런 것을 하지 않고 농사만 일꾼 것 같아요.,0.105,0.889,0.696,0.783,0.0,0.364
그건 여자 칩이지예 ? 건 .,그건 여자 집이지요 ? 건 .,그건 여자 친구야? 맞아.,0.102,0.678,0.525,0.774,0.0,0.857
ᄂᆞᆷ이 쉐든 ᄂᆞᆷ이 ᄆᆞᆯ이든 막 방목헹 내불민 게 .,남의 쇠든 남의 말이든 막 방목을 해서 내버리면 .,남자든 여자든 막 방문헌 내불민 것이다.,0.023,0.4,0.391,0.978,0.0,0.571
"아니 , 나는 나는 ᄄᆞᆫ 디 강 살고 , 집 상 강 ᄄᆞᆫ 디 강 살고 .","아니 , 나는 딴 데 가서 살고 집 사서 가서 딴 데 가서 살고 .","아니요, 저는 저는 제 강에서 살고 있으며, 집 상강에서 살고 있습니다.",0.02,0.49,0.448,0.914,0.0,0.941
ᄒᆞᆫ 집이 못 사는 사름 많아 .,한 집에 못 사는 사람 많아 .,저희 집이 못 사는 이유가 많아요.,0.082,0.802,0.709,0.884,0.0,0.889
"우리도 베 서도양 , 우리 아이덜 두건 백 개 사단 , 다 사단 .","우리도 베 있어도요 우리 아이들 두건 백 개 사다가 , 다 사다가 .","우리도 바다를 보러 가고, 우리 아이돌 두건 100개를 사서 모두 입을 것이다.",0.024,0.736,0.611,0.83,0.0,0.526
경허단에 안 판관도 안뒈고 .,그러다가 안 판관도 안되고 .,경허단에는 안 판관도 안 뒀어요.,0.121,0.661,0.677,1.024,0.0,0.857
"경허주게 , 경헌디 그 ᄉᆞ삼사건 후에 저 산 고지 간에 이젠 숫을 묻엇주 . 묻으난 허가 잘 아이 마탓젠 .","그렇지 , 그런데 그 사삼사건 후에 저 산 숲에 가서 이젠 숯을 묻었지 . 묻으니까 허가 잘 안 받았다고 .","경치가 좋다, 경치가 좋은 그 산 고지에 봄에 이제부터 쌀을 심었다. 심은 건 잘 자라기를 바란다.",0.016,0.565,0.276,0.488,0.0,0.348
"으 , 다간 날 때 다 사레 온다 . 두 설 뒐 때 사레 오면 거 ᄑᆞᆯ고 . 겨고 주로이 그 밧갈쉐라고 잇저 , 밧갈쉐 .","으 , 두습 될 때 다 사러 온다 . 두 살 될 때 사러 오면 거 팔고 . 그리고 주로 그 밧갈쉐라고 있어 , 밧갈쉐 .","이, 이따가 나갈 때는 반드시 비가 온다. 두 손을 뒤에 꼿꼿이 모으면 비가 온다. 그 지역에서는 그 비바람을 밧갈쉐라고 부른다.",0.013,0.624,0.341,0.546,0.0,0.581
"아 , ᄆᆞ루 대예 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 거라예 ? 아까 저기 ?","아 , 마루 대요 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 거지요 ? 아까 저기 ?","아, 모두 다 예쁘다. 가운데 들어가는 것은 뭐야? 아 그래, 그러면 세 개 만드는 것도 같은 거겠지? 아까 저기 말이야?",0.091,0.903,0.708,0.784,0.0,0.545
"밥 , 식은밥을 헤 가지고 거기 놔 가지고이 이제 누르뜨난 경 뒈엇젠 .","밥 , 찬밥을 해 가지고 거기 놔 가지고 이제 누르니까 그렇게 되었다고 .","밥, 식은밥을 들고 거기 놔두고 이제 눈뜨자마자 일어났네요.",0.018,0.815,0.64,0.785,0.0,0.714
바당에 정 강 컷다근에 .,바다에 지어서 가서 잠갔다가 .,바닷가에서 정강이 컷다근에.,0,0.323,0.429,1.328,0.0,2.0
아 이듸 이듸 자리젓만 헹 먹언 . 자리젓 .,아 여기 여기 자리젓만 해서 먹었어 . 자리젓 .,아 이리 와서 자리를 제대로 잡고 먹어라. 자리를 잡아라.,0.026,0.851,0.526,0.618,0.0,0.167
"예 , 예 . 맞수다 . 보통 ᄎᆞᆯ레 옛날에 셍각 한 번 헤봅서 . ᄎᆞᆯ레 뭐 , 뭐 ᄎᆞᆯ령 먹엇수과 ? ᄎᆞᆯ레들 .","예 , 예 . 맞습니다 . 보통 반찬 옛날에 생각 한 번 해보십시오 반찬 뭐 , 뭐 차려서 먹었습니까 ? 반찬들 .","네, 맞아요. 일반적으로 예전에 손님을 한 번 맞이곤 했어요. 그때 뭐, 뭐 좋은 것 좀 대접해 드렸나요? 그때들이에요.",0.029,0.724,0.635,0.877,0.0,0.519
"무신걸로 멘든 거라 , 그건 ?","무엇으로 만든 거야 , 그건 ?",무슨 목적으로 그것을 하는 것인가요?,0,0.503,0.7,1.392,0.0,0.0
사혼이엔 허믄 남자도 죽고 여자도 죽고 다헤근엥 헤주 . 구신으로 데로오는 건데 .,사혼이라고 하면 남자도 죽고 여자도 죽고 다해서 하지 . 귀신으로 데려오는 건데 .,"사람이면 누구나 죽을 수 있고, 모든 것이 끝나면 구신으로 돌아가게 됩니다.",0,0.81,0.656,0.81,0.0,0.125
또 ᄌᆞᆫ 자리 ᄒᆞᆯ 떼는 그보단 약허게 놓고 .,또 조그마한 자리 할 때는 그보다는 약하게 넣고 .,다시 자리를 뜯지 말고 그보다는 조심스럽게 놓아주세요.,0.024,0.661,0.579,0.876,0.167,0.222
