,dialect,standard,VGPT,EIGPT,FIGPT,EFIGPT
0,"응 , 웨가칩이서 갈아나고 요디 우리 친정은 수망린디 안 갈안 .
","응 외갓집에서 갈았었고 요기 우리 친정은 수망린데 안 갈았어 .
","응, 외출할 거예요. 요즘 우리 고향은 수망이 아니라 안 가고 있어요.","응, 왜 그렇게 바꾸고 있어? 우리 집은 수목원에 안 갈거야.","응, 왜 바꾸러 가고 있어? 요즘 우리 친정은 수망리에 안 가니까.","응, 왜가농장이서 바뀌고 있고 우리 친정은 수망린이 안 가니까."
0,"저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , ᄉᆞ월 말일에 저거 놓기 시작헌다 . 오월 초로구나 , 오월 초 .
","저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , 사월 말일에 저거 놓기 시작한다 . 오월 초로구나 오월 초 .
","그 수박은 지금부터 내가 재배한 거고, 지금은 5월 경이며, 5월 말일에 그것을 놓기 시작한다. 즉, 5월 초이다.","이 수박은 지금부터 수확하는거야. 현재는 5월인데, 5월 말에 이 수박을 수확하기 시작해. 5월 초쯤이 되겠네.","그 수박은 이제 내가 해낸 것인데, 지금은 5월 경이고 5월 말에 그것을 놓기 시작했다. 5월 초였구나, 5월 초.","그 수박은 지금부터 나오는 거야. 지금이 5월인데, 5월 말에 그것들이 팔리기 시작하겠네. 5월 초네."
0,"하여튼 고네할미는 잘 나 .
","하여튼 달개비는 잘 나 .
",어쨌든 할머니는 잘 계시네요.,어쨌든 할머니는 건강하시다.,어쨌든 할머니는 잘 있으시다.,어쨌든 할머니는 건강하시다.
0,"게난 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지엇고예
","그러니까 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지었고요 ?
",우리 엄마는 협재로 갈 때 물건 사러 가는 것보다는 농사 일만 하러 가셨어.,제 어머니는 협재로 가도 재산 일이나 이런 것은 하지 않고 농사만 짓습니다.,제 어머니는 협재로 갈 때 물건 이런 거 안 하시고 농사만 하셨어요.,저의 어머니는 협재로 가도 물질적인 것들은 안 하시고 농사만 하셨습니다.
0,"그건 여자 칩이지예 ? 건 .
","그건 여자 집이지요 ? 건 .
",그것은 여자 친구입니까? 그렇군요.,그건 여자 친구인가요? 고요.,그건 여자 친구 있어? 건.,그건 여자 친구 맞지요? 그래요.
0,"ᄂᆞᆷ이 쉐든 ᄂᆞᆷ이 ᄆᆞᆯ이든 막 방목헹 내불민 게 .
","남의 쇠든 남의 말이든 막 방목을 해서 내버리면 .
",남자든 여자든 막상 방문을 내버리면 된다.,양이든 소이든 그냥 방목장으로 내놓으라는 거야.,누구든지 자신이 쓰레기를 버리거나 다른 구역에 방황하면 안 됩니다.,남자든 여자든 막 방문히 내불면 돼.
0,"아니 , 나는 나는 ᄄᆞᆫ 디 강 살고 , 집 상 강 ᄄᆞᆫ 디 강 살고 .
","아니 , 나는 딴 데 가서 살고 집 사서 가서 딴 데 가서 살고 .
","아니요, 저는 제가 살고 있는 강동과 집 상 강동에서 살고 있어요.","아니요, 저는 제가 태어나서 지금까지 살던 강가에 살고, 집도 강가에 살고 있어요.","아니오, 저는 지금은 강에서 살고 있고, 고향은 강에서 살고 있습니다.","아니요, 저는 제주에서 살고 있고, 집도 제주에서 살고 있어요."
0,"ᄒᆞᆫ 집이 못 사는 사름 많아 .
","한 집에 못 사는 사람 많아 .
",한 집이 못 사는 사람이 많아.,집을 살 수 없는 사람들이 많아요.,한 집이 못 살 정도로 가난한 사람이 많다.,저희 집도 못 사는 사람이 많아요.
0,"우리도 베 서도양 , 우리 아이덜 두건 백 개 사단 , 다 사단 .
","우리도 베 있어도요 우리 아이들 두건 백 개 사다가 , 다 사다가 .
","우리도 바다를 보러 가요, 우리 아이돌 두 컨셉 옷 100장 사달아. 다 사다.","우리도 베이서도 양 , 우리 아이들은 두건 백 개 사면, 다 살거야.","우리도 베 서도안, 우리 아이들도 두건 백 개 산다니, 다 산다니.","우리도 베게 서도였는데, 우리 아이들이 두건 백 개씩 사던데, 다 샀나봐."
0,"경허단에 안 판관도 안뒈고 .
","그러다가 안 판관도 안되고 .
","경허되었지만 안 팔렸고, 관심도 없이 뒀다.",경허단에서 안 팔았고 관도 안 뒀다.,경허담에 안 팔았던 것도 안 보았고.,경허단에 안 판 관도 안 뒀고.
0,"경허주게 , 경헌디 그 ᄉᆞ삼사건 후에 저 산 고지 간에 이젠 숫을 묻엇주 . 묻으난 허가 잘 아이 마탓젠 .
","그렇지 , 그런데 그 사삼사건 후에 저 산 숲에 가서 이젠 숯을 묻었지 . 묻으니까 허가 잘 안 받았다고 .
",제가 이제 그 일을 경험한 후에 저 산 꼭대기에 가서 이제는 밭을 갈아 심었습니다. 갈고 나면 잘 자라겠지요.,"그러니까, 경험했으니까 그 사건 이후에 저 산 고지에 이제 쌀을 심었어. 심은 건 잘 자라길 바래.","경허주다, 경험하다 그 사건 이후에 저 산 고지에 이제는 숫을 묻었어. 묻었으면서도 나는 제대로 몰랐었네.","그러면서, 그 사건 이후로 저 산 꼭대기에 이제 숯을 매장해놨어. 매장한 건 제대로 됐는지 잘 몰라."
0,"으 , 다간 날 때 다 사레 온다 . 두 설 뒐 때 사레 오면 거 ᄑᆞᆯ고 . 겨고 주로이 그 밧갈쉐라고 잇저 , 밧갈쉐 .
","으 , 두습 될 때 다 사러 온다 . 두 살 될 때 사러 오면 거 팔고 . 그리고 주로 그 밧갈쉐라고 있어 , 밧갈쉐 .
",우리는 다같이 날 때 항상 이야기를 나누죠. 두세번 정도 이야기가 끝난 후에 오면 좋을 거에요. 그리고 제일 좋아하는 음식으로는 바다에서 잡은 파란새우라는 것이 있어요.,"어, 가끔 시간이 있을 때 사러 온다. 아버지 생일 때 사러 오면 거금 준비해. 작년에는 그 제주도 사람들이 밧갈쉐라고 불러주셨어, 밧갈쉐.","이제부터는 자주 올 때마다 사과해야겠다. 두 번째 금요일에 올 때마다 사과오면 고맙겠다. 가끔 우리 할아버지는 그 까치를 보고, 까치라고 말씀하십니다.",이제부터 가끔씩 올거야. 두 손댈 때마다 오면 뭐 어때. 여자 중에서 그 이름도 밤팔사라고 해. 밤팔사.
0,"아 , ᄆᆞ루 대예 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 거라예 ? 아까 저기 ?
","아 , 마루 대요 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 거지요 ? 아까 저기 ?
","아, 그냥 말이야. 가운데 들어가는 것은. 그러면 세 개 만드는 것도 같은 거야? 방금 거기서 말했던 거지?","아 , 그냥 중앙에 들어가는 건 어떤 거죠. 그렇다면 세 개 만드는 건 똑같은 거라고 생각됩니다. 아까 거기에요?","아, 모두 준비됐네. 가운데에 들어가는 것은 뭐야. 그러면 세 개 만드는 것도 똑같은 거지? 방금 그 곳에서 말한 것 같아.","아, 모두 대단히 예쁘네요. 가운데 들어가는 건 뭐예요? 아, 그러면 세 개 만드는 건 똑같은 건가요? 아까 그곳에서 말씀하신 것 같은데요?"
0,"밥 , 식은밥을 헤 가지고 거기 놔 가지고이 이제 누르뜨난 경 뒈엇젠 .
","밥 , 찬밥을 해 가지고 거기 놔 가지고 이제 누르니까 그렇게 되었다고 .
","밥, 차가운 밥을 가져가서 거기 두고 가라. 이제 나는 바쁘니까 나중에 먹을게.","밥, 식은밥을 들고 거기 놔둬 이제 내려놨으니까.","밥, 식은밥을 들고 거기 놔두고 이제 내일 아침에 먹을게. 이젠 바로 잘게.","밥 , 식은밥을 가져와서 거기 두고 가지고 이제는 다 먹었어요."
0,"바당에 정 강 컷다근에 .
","바다에 지어서 가서 잠갔다가 .
",바다에 정어리가 잡혔다는 얘기야.,바닥에 정강이 흘렀어.,바닷가에서 물고기를 잡았어.,그 언덕에 정강(清江)이 흐르고 있다.
0,"아 이듸 이듸 자리젓만 헹 먹언 . 자리젓 .
","아 여기 여기 자리젓만 해서 먹었어 . 자리젓 .
",이제 이제 자리를 잘 지켜서 그만 먹자. 자리를 지켜.,이따 이따 자리정리만 좀 해 먹자. 자리정리.,이제 이렇게만 앉아서 밥을 먹으면 돼. 제대로 앉아.,하 이따 이따 자리를 정리하고 밥을 먹자. 자리정리.
0,"예 , 예 . 맞수다 . 보통 ᄎᆞᆯ레 옛날에 셍각 한 번 헤봅서 . ᄎᆞᆯ레 뭐 , 뭐 ᄎᆞᆯ령 먹엇수과 ? ᄎᆞᆯ레들 .
","예 , 예 . 맞습니다 . 보통 반찬 옛날에 생각 한 번 해보십시오 반찬 뭐 , 뭐 차려서 먹었습니까 ? 반찬들 .
","네, 맞습니다. 보통은 어릴 적에 한 번쯤 해보곤 합니다. 어릴 때, 무슨 것을 먹었는지 기억나요? 어릴때들.","예, 예. 맞습니다. 보통 처음에 옛날에 성격 한 번 헤보고요. 처음에 뭐, 뭐 처음에 먹었습니까? 처음에요.","예, 맞아요. 보통 쌀 먹방울 언제 한 번 소비해봤어요? 쌀 먹방울 뭐, 뭐 쌀로 만든 음식을 먹은 적 있나요? 쌀 먹방울들.","네, 네. 맞습니다. 보통 저희들은 예전에 쌀각 한 번 해보곤 했어요. 쌀각이 뭐냐면, 뭐 쌀죽을 먹었나요? 쌀각이죠."
0,"무신걸로 멘든 거라 , 그건 ?
","무엇으로 만든 거야 , 그건 ?
","무슨 일로 신경쓴 거예요, 그거요?",바다에 띄운 그것이 무슨 뜻인가요?,"무슨 일로 이렇게 힘들어 보이냐, 그거야?","무엇 때문에 그렇게 했는데, 그게 뭐야?"
0,"사혼이엔 허믄 남자도 죽고 여자도 죽고 다헤근엥 헤주 . 구신으로 데 로오는 건데 .
","사혼이라고 하면 남자도 죽고 여자도 죽고 다해서 하지 . 귀신으로 데려오는 건데 .
",사람이면 남자도 죽고 여자도 죽고 다 해관은 해야지. 구신으로 가는 것이다.,살아 있는 모든 남자와 여자가 죽는 게 혼인식입니다. 그러니까 우리는 살아서 다른 세상으로 가는 건데요.,"사람이든 남자든 죽고 여자든 죽고 다 해결됐다고 했는데, 구신으로 가면서 끝나는 거겠지.","살다가 결혼하면 모든 남성과 여성이 죽고, 그것이 다시 시작되는 것이라고 합니다. 이것은 구신적인 믿음이 있는 것입니다."
0,"또 ᄌᆞᆫ 자리 ᄒᆞᆯ 떼는 그보단 약허게 놓고 .
","또 조그마한 자리 할 때는 그보다는 약하게 넣고 .
",다시 자리를 잡을 때는 그보다는 조금 부드럽게 놓는 게 좋아.,다시 자리를 뺏지 말고 부드럽게 놔둬.,또 자리를 떼는 것보다는 약하게 놓아두세요.,다시 자리를 할 때는 그보다 조금 더 약하게 놓고요.
