,dialect,standard,VGPT,EIGPT,FIGPT,EFIGPT
0,"저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , ᄉᆞ월 말일에 저거 놓기 시작헌다 . 오월 초로구나 , 오월 초 .
","저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , 사월 말일에 저거 놓기 시작한다 . 오월 초로구나 오월 초 .
","그 수박은 지금부터 내가 심은 거야. 지금은 5월 경인데, 5월 말일에 그거를 심은 거야. 즉, 5월 초에 심었구나!","저 수박은 지금부터 나는 거야. 지금은 5월이고, 5월 말일에 저거를 놓기 시작한다. 지금은 5월 초이구나, 5월 초.","그 수박은 이제부터 나는 것이고, 지금은 5월 경이며, 5월 말에 그것을 놓기 시작합니다. 즉, 이제 5월 초입니다.","그 수박은. 수박도 지금부터 나는 거고, 현재는 5월 경이며, 5월 말일에는 그것들을 팔기 시작한다. 아직 5월 초달이구나, 5월 초."
0,"하여튼 고네할미는 잘 나 .
","하여튼 달개비는 잘 나 .
",어쨌든 할머니는 잘 계시다.,어쨌든 할머니는 건강하시다.,어쨌든 할머니는 잘 계시네요.,어쨌든 할머니는 잘 지내시나봐요.
0,"게난 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지엇고예
","그러니까 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지었고요 ?
",제 어머니는 협재로 가도 물건 사는 일은 거의 안 하시고 농사만 하셨습니다.,제 어머니는 협재로 가도 재산 이런 거 안 하고 농사만 짓고 있어요.,우리 어머니는 협재로 가도 물건 사는 것 뿐 아니라 농사만 짓고 계셨어.,저의 어머니는 협재로 가시더라도 물질적인 것들은 신경쓰지 않고 농사만 하셨습니다.
0,"그건 여자 칩이지예 ? 건 .
","그건 여자 집이지요 ? 건 .
",그거 여자 친구니까? 건.,그건 여자 친구잖아 ? 그래.,그것은 여자 친구인가요? 그건.,그건 여자 친구잖아? 건.
0,"ᄂᆞᆷ이 쉐든 ᄂᆞᆷ이 ᄆᆞᆯ이든 막 방목헹 내불민 게 .
","남의 쇠든 남의 말이든 막 방목을 해서 내버리면 .
",남자든 여자든 막상 일이나 해야지.,남자든 여자든 관계 없이 방문을 두드리지 않고 들어오면 안 돼요.,누구든지 사나이이든 여자이든 상관 없이 마음껏 웃으며 살아가자.,남자든 여자든 상관없이 방문했으면 좋겠습니다.
0,"아니 , 나는 나는 ᄄᆞᆫ 디 강 살고 , 집 상 강 ᄄᆞᆫ 디 강 살고 .
","아니 , 나는 딴 데 가서 살고 집 사서 가서 딴 데 가서 살고 .
","아니요, 저는 제가 태어나고 자란 강원도에서 살고 있으며, 집도 강원도에서 살고 있습니다.","아니요, 저는 저는 지금 강에서 살고 있고, 집 상 강에서 살고 있어요.","아니오, 저는 저는 북쪽에 사고 있고, 집은 북쪽에 있습니다.","아니요, 저는 제가 태어나서 지금까지 살던 곳에서 살고 있고, 집은 제가 태어난 곳에서 살고 있어요."
0,"ᄒᆞᆫ 집이 못 사는 사름 많아 .
","한 집에 못 사는 사람 많아 .
",우리 집을 사지 못하는 사람이 많아.,집을 사지 못하는 사람들이 많아요.,한 집이 못 살 정도로 돈이 많지 않아요.,건강한 집이 못 살 정도로 사람이 많다.
0,"우리도 베 서도양 , 우리 아이덜 두건 백 개 사단 , 다 사단 .
","우리도 베 있어도요 우리 아이들 두건 백 개 사다가 , 다 사다가 .
","우리도 바다를 보러 가고, 우리 아이돌 두꺼비 백 개 샀다, 다 샀다.",우리도 사야 할 것 같아요. 우리 아이들이 양갈래 모자를 백 개씩 사야 하나봐요. 다 살까요?,"우리도 백두산을 넘고, 우리 아이들한테도 백 개씩 사준다, 다 사주렴.","우리도 베어서야 해 , 우리 아이들이 쓸 두건 백 개씩 사야 해 , 다 사야 해 ."
0,"경허단에 안 판관도 안뒈고 .
","그러다가 안 판관도 안되고 .
",경허단에 안 판관도 안 봤고.,고요한 곳에 아무 소리도 없었다.,경허단에서 안 판 관도 안 봤어.,경매장에서 안 팔린 물건도 안 버리고 있다.
0,"경허주게 , 경헌디 그 ᄉᆞ삼사건 후에 저 산 고지 간에 이젠 숫을 묻엇주 . 묻으난 허가 잘 아이 마탓젠 .
","그렇지 , 그런데 그 사삼사건 후에 저 산 숲에 가서 이젠 숯을 묻었지 . 묻으니까 허가 잘 안 받았다고 .
","경험히게, 경험이 그 사건 후에 저 산 꼭대기에 이제는 올리기를 했다. 올려서는 이미 잘 알아보겠지.","그러니까, 경헤서 하던 그 삼사건 후에 저 산 고지로 이제 숫을 묻었어요. 묻은 건 잘 자라기를 기원합니다.","경험했어, 경험했는데 그 사건 이후에 저 산 꼭대기에 이제는 숟가락으로 식물을 파씌웠어. 파씌우던 도중에 괜찮은 아이를 만났어.",그러면 그 사건 이후에 산 고지에 이제 숟가락을 묻었어요. 묻은 건 잘 아이 맞겠죠.
0,"으 , 다간 날 때 다 사레 온다 . 두 설 뒐 때 사레 오면 거 ᄑᆞᆯ고 . 겨고 주로이 그 밧갈쉐라고 잇저 , 밧갈쉐 .
","으 , 두습 될 때 다 사러 온다 . 두 살 될 때 사러 오면 거 팔고 . 그리고 주로 그 밧갈쉐라고 있어 , 밧갈쉐 .
",이제부터 매번 내가 갈 때마다 같이 온다. 두 번째 설 앞뒤로 오면 집에 머무르자. 제일 좋아하는 친구는 그 바위 밑에 살아서 그 바위.,"어, 다음에 올 때 꼭 와주세요. 추석때 오실 때 꼭 들러 주세요. 제 인생에서는 그 뒷동산을 밧갈쉐라고 불러요, 밧갈쉐.","우리 집에 올 때마다 꼭 사방팔근 둘러봐. 두 번째 설이 지나면 새해가 오는 거잖아. 어제는 자꾸 그 아저씨가 왔는데, 그 아저씨는 제 어릴 적에 친구였어.","어, 다음에 올 때 반드시 알려줘. 두 번째 설 때 오면 무슨 일 있어도 그만둘게. 그리고 가장 중요한 건 그 바위 밑에 있는 작은 동굴이라고 해. 바위 동굴."
0,"아 , ᄆᆞ루 대예 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 거라예 ? 아까 저기 ?
","아 , 마루 대요 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 거지요 ? 아까 저기 ?
","아, 뭐해요? 가운데에 들어가는 건 뭐에요? 그럼 세 개 만드는 건 똑같은 건가요? 방금 전 거기에서 말씀하신 거죠?","아 , 중간에 들어가는 건 뭐예요. 아 그러면 세 개 만드는 건 똑같은 거예요? 방금 그곳에서 말씀하신 건가요?","아, 모두 준비됐네요. 가운데에 넣는 것은 같은 거죠. 그러면 세 개 만드는 것도 같은 거에요? 방금 말한 거요.","아, 그것도 됩니다. 중간에 들어가는 것은요. 아 그럼 세 개 만드는 건 똑같은 거예요? 방금 그곳에서 말씀하신 것 같죠?"
0,"밥 , 식은밥을 헤 가지고 거기 놔 가지고이 이제 누르뜨난 경 뒈엇젠 .
","밥 , 찬밥을 해 가지고 거기 놔 가지고 이제 누르니까 그렇게 되었다고 .
","밥, 차가운 밥을 가져다 놓고 거기 두고 이제 저는 일어나야겠습니다.","밥 , 차가운 밥을 가지고 거기 두고 가지고 왔는데 이제 먹을 시간이 지났나봐요.","밥, 식은 밥을 가져가서 거기 놓아두고 이제 눕자.","밥, 식은밥을 가져와서 거기에 올려놓고 이제 먹으러 갑시다."
0,"바당에 정 강 컷다근에 .
","바다에 지어서 가서 잠갔다가 .
",바닥에 정확하게 쪼개진 고구마 조각이 있다.,밭에 정강이 물 깔았다.,바닷가에 정말 큰 파도 치고 있다.,밭에 정이 많이 와서 심었다.
0,"아 이듸 이듸 자리젓만 헹 먹언 . 자리젓 .
","아 여기 여기 자리젓만 해서 먹었어 . 자리젓 .
",아 이리 와 이리 와 자리를 정하고 앉으세요. 자리를 정하세요.,아 이리 이리 자리잡고 잘 앉아. 자리잡기.,아 이렇게 여기 저기 서성대며 먹을 것만 다 먹었네. 서성거림.,이따 이따 자리 잡고 힘내서 일 하자. 자리 잡기.
0,"예 , 예 . 맞수다 . 보통 ᄎᆞᆯ레 옛날에 셍각 한 번 헤봅서 . ᄎᆞᆯ레 뭐 , 뭐 ᄎᆞᆯ령 먹엇수과 ? ᄎᆞᆯ레들 .
","예 , 예 . 맞습니다 . 보통 반찬 옛날에 생각 한 번 해보십시오 반찬 뭐 , 뭐 차려서 먹었습니까 ? 반찬들 .
","예, 맞아요. 보통은 어릴 때 한 번쯤 해봤죠. 어릴 때 뭐, 뭐 먹었나요? 어릴 때는요.","예, 예. 맞습니다. 보통 처음에 옛날에 성격 한 번 해봤어요. 처음 뭐, 뭐 첫째 식사를 했나요? 처음들.","예, 맞아요. 보통은 예전에 섭각 한 번 해봤어요. 그때 뭐, 뭐 좋은 걸 먹었던 기억이 나네요. 그때들이에요.","네, 네. 맞습니다. 보통 지난 번에 새각 한 번 해 본 적이 있어요. 새각 뭐, 뭐 새각맛이 먹었나요? 새각들."
0,"무신걸로 멘든 거라 , 그건 ?
","무엇으로 만든 거야 , 그건 ?
","무슨 일로 깊게 생각하고 있는데, 그것은 무엇인가요?",무슨 일로 만났어요?,"무슨 일이 일어난 거라, 그것은?","무슨 걸로 했는데, 그거야?"
0,"사혼이엔 허믄 남자도 죽고 여자도 죽고 다헤근엥 헤주 . 구신으로 데 로오는 건데 .
","사혼이라고 하면 남자도 죽고 여자도 죽고 다해서 하지 . 귀신으로 데려오는 건데 .
","사람이면 누구나 죽음을 맞이하게 되지만, 마지막으로 죽는 것은 구세군으로 전승되고 있는데요.",결혼하면 어떤 남자도 죽을 수 있고 여자도 죽을 수 있으니까 서로 잘해주자. 예전부터 그렇게 하는 것이다.,"살면서 모든 사람이 죽는 것이고, 이 세상에서 모든 것은 다 변화한다는 것입니다. 이는 곧 모든 것은 일시적이라는 것입니다.",사혼이면 허물 남자도 죽고 여자도 죽고 다 해결된다고 해요. 그리스도교로 따지면 죽음은 데로 가는 일이죠.
0,"또 ᄌᆞᆫ 자리 ᄒᆞᆯ 떼는 그보단 약허게 놓고 .
","또 조그마한 자리 할 때는 그보다는 약하게 넣고 .
",다시 자리를 할테니 그냥 조금 가볍게 놓아두세요.,다시 자리를 떼는 것보다는 부드럽게 놓아둬.,다시 자리를 할테니까 그보다는 약하게 놓아두세요.,또 자리를 뺏지 말고 조금 더 옅게 놓고.
