dialect,standard,response
소중한 거라고 생각하는구나 엄마의 소중함도 알암신가?,소중한 거라고 생각하는구나 엄마의 소중함도 알려나?,소중한 것이라고 생각하는군요. 엄마의 소중함도 알고 있나요?
아 겅하니까이 예초 할땐 조심해야 돼,아 그러니까 예초 할땐 조심해야 돼,"아 겁하니까, 예초를 할 때는 조심해야 해요."
영하다,이렇게하다,-10도 이하이다.
게메이,그러니까,게임이 (Game-i)
근데 외국에는 원래부터 평평하게 해놘,근데 외국에는 원래부터 평평하게 해놨어,하지만 외국에서는 원래부터 평평하게 만들어져 있습니다.
하면서 막 경하니까 어떻게 먹고 살 거냐고 해가면서 막,하면서 막 그렇게하니까 어떻게 먹고 살 거냐고 해가면서 막,하면서 멋대로 얕보면서 어떻게 살아낼 거냐고 말하면서 막.
명질에 다 같이 모여그네 이렇게,명절에 다 같이 모여서 이렇게,모두 명지에 모여봅시다.
그게 별로 그렇게 아들딸 구별 별로 어서났거든 우리는,그게 별로 그렇게 아들딸 구별 별로 없었거든 우리는,그것은 별로 구별이 어렵지 않다는 것이죠. 지금은 그 시대가 뒤로 묻혀 갔으니까요.
어서?,없어?,어서 뭐야?
잘 저기 뭐 했을거우다게,잘 저기 뭐 했을꺼에요,"잘 가요, 거기서 뭐 했을까요?"
멍석깔아놓고 넉둥베기 할때 그렇게 작 작은거해,멍석깔아놓고 윷놀이 할때 그렇게 작 작은거해,돌을 쌓아놓고 높이 뛰어내리기 할 때 그렇게 작 작은 걸 해.
그래 그런것들이 추억이주,그래 그런것들이 추억이지,"그래, 그런 것들이 추억이지."
어어 겅 하면서 장구 치고,어어 그렇게 하면서 장구 치고,어 이렇게 하면서 장구를 치고 있습니다.
요 중간에는 지금의 코로나땜에 좀 공기가 맑아져그네,요 중간에는 지금의 코로나땜에 좀 공기가 맑아져서,이 중간에는 현재의 코로나 때문에 공기가 조금 맑아졌네.
옛날 생각나기는 햄수다,옛날 생각나기는 해요,옛날 생각해보면 그런군요.
이번년도가 진짜 잘도 빨리 끝난,이번년도가 진짜 잘도 빨리 끝났어,올해 정말 빠르게 지나갔네요.
교감이 어서지는거 같애,교감이 없어지는거 같애,교감이 어색해 보이네요.
옛날 닮지 안해여,옛날 같지 않아,옛날 닮지 않아요.
뭐 예기하고 그냥 가불고 하니까 애들한테는 전혀 없잖아?,뭐 예기하고 그냥 가버리고 하니까 애들한테는 전혀 없잖아?,무언가 설명해주지 않고 그냥 간단히 이야기하니까 아이들에게는 전혀 이해가 안 되겠죠.
솔직히 음식 만들멍 얘기 하멍 뭐 거기에서 또 교류가 형성되고 더,솔직히 음식 만들면서 얘기 하면서 뭐 거기에서 또 교류가 형성되고 더,"솔직히 음식 만드는 것에 대해 얘기하면, 거기에서 또 교류가 형성되고 더 좋은 결과물을 만들 수 있을 것 같아요."
너무 웃겨그네,너무 웃겨서,너무 웃기다.
맞아 겅해 나도 겅해 나도 나도,맞아 그래 나도 그래 나도 나도,그래 맞아 고마워 나도 고마워 나도
밭으로 이제 저 이전 동안을 해부난 이제 미깡은 이제 가 밭으로 안 가부난에,밭으로 이제 저 이전 동안을 하니까 이제 귤은 이제 가 밭으로 안 가서,지금 밭을 가야 해요. 지난 동안 바빴으니 이젠 가야죠.
어 허지 경허난에,어 하지 그러니까,"어, 어디에 가셨나요?"
특히 사업하는 사람인디,특히 사업하는 사람인데,특히 사업을 하는 사람들이죠.
경허난 저 우리 아방신디,그러니까 저 우리 아빠한테,경허나 우리 아버지세요.
우리 아방 뭔 줄 알아? 한 다섯 개면 모르주만,우리 아빠 뭔 줄 알아? 한 다섯 개면 모르지만,우리 아버지 무슨 말씀이신지 알아요? 다섯 가지면 몰라도요.
주소만 골랜합써 허는 거라 게난 나가,주소만 말하라고해요 하는 거야 그니까 내가,주소만 골라서 해주시면 나갈게요.
조생 딸 때 겐디 그 만생인 미깡을,조생 딸 때 근데 그 만생인 귤을,조상의 딸을 낳을 때 견디던 만생인 미깡을
팔 팔 사람이주게,팔 팔 사람이거든,여덟 명이 찾아와주세요.
지금은 이제 그 저 지네가 가꿀때는,지금은 이제 그 저 자기네가 가꿀때는,지금은 그저 지네가 가는 시점일 뿐입니다.
이제 처음엔 안 가켄을 하당,이제 처음엔 안 가겠다고를 하다가,이제 처음에는 안 가겠습니다.
옆집 사람이 골아신디사 이제 걸 나신디,옆집 사람이 말했는지 이제 걸 나한테,옆집 사람이 골아신다고 하더니 이제 걸어나신다고 합니다.
아 기믄 걱정 어신디 경해도양 낭푼이는 가져가사합니다,아 그러면 걱정 없는데 그래도요 낭푼이는 가져가야합니다,아까 말씀하신 걱정은 어떻습니까? 경해도 양 낭푼이는 가져가겠습니다.
박스 열다섯 개 어떵 헐 거?,박스 열다섯 개 어떻게 할 거야?,박스 열다섯 개를 어떻게 해야 할까요?
아차 아차 저걸 갔다 그디 지하에 담아야겠다 생각해가지고,아차 아차 저걸 갔다 거기 지하에 담아야겠다 생각해가지고,"아차 아차, 그걸 가져가서 지하에 담아야겠다 생각하고 있었어."
것도 미리 골앙 놔둬야지 거 미리 무슨,것도 미리 말해 놔둬야지 거 미리 무슨,"것도 미리 준비해 놓아야지, 그게 무슨 일인가."
그러믄 나가 미깡 저 박스를 가져가켜 하니까는,그러면 내가 귤 저 박스를 가져갈게 하니까는,그래서 나가서 저 박스를 가져와 주세요.
어 막 그 인심도 좋다예 막,어 막 그 인심도 좋네요 막,어떻게든 그 사람도 좋은 사람 같아요.
시어멍이더라고 막게 모섭고예,시엄마더라고 막 무섭고요,시어머니라고 불리우며 매우 존경스럽고 예의 바르다.
그리고 그 집에서 나오는디 그 동네 사람이 무사 그 방안에서 나옵니까?그 방에서 나오멍,그리고 그 집에서 나오는데 그 동네 사람이 왜 그 방안에서 나옵니까?그 방에서 나오면서,그리고 그 집에 사는 사람들은 모두 건강하게 그 방에서 나오시나요? 그 방에서 나오는 건가요?
아이 그거 시어멍 아니,아이 그거 시엄마 아니,저거 시어머니 아니에요.
나가 이 나가 니 집에 들어보믄 알지마는 나 한 번 들어보잰 그거 하더라고,내가 이 내가 니 집에 들어보면 알지마는 나 한 번 들어보려고 그거 하더라고,외곽 지역에서 사용되는 방언입니다. 번역할 수 없습니다.
경행 허는 거랜 돈도 안 남는댄 니까,그렇게해서 하는 거래 돈도 안 남는대 니까,한때는 흥행하더라도 돈도 안 남기 때문에 경영상 좋지 않은 것이다.
게난 그 상점이 게난 두 개라,그니까 그 상점이 그니까 두 개야,그 가게는 두 개 있네요.
가믄 막 간섭하네,가면 막 간섭하잖아,너무 간섭하지 마세요.
어른이라부난 가랜도 못 허고 왕으내예,어른이라서 가라고도 못 하고 와서요,어른이라고 해도 결정을 내리지 못하는 것은 왕도내여.
모닝 글로리가 아니고 모닝 뭐라 근디 거기서예 뭐 먹는 것도 팔고,모닝 글로리가 아니고 모닝 뭐야 근데 거기서요 뭐 먹는 것도 팔고,"모닝 글로리가 아니라 모닝 어쩌구인데, 거기서 무엇을 먹는 것도 판매한다."
마음씨가 너무 좋앙으내 문제 마음씨가 너무 좋앙으내 문제야 지금,마음씨가 너무 좋아서 문제 마음씨가 너무 좋아서 문제야 지금,마음이 너무 좋아서 문제가 되고 있어요.
근디 이제 이모는 칠십 응 오 세 이상이라부난 아 해야되난 안 되부난,근데 이제 이모는 칠십 응 오 세 이상이라서 아 해야되니까 안 되니까,"하지만 지금 이모님은 75세 이상이어서, 해야만 하는 일은 안 하셔도 됩니다."
처음엔 허기 싫엉 강 허난,처음엔 하기 싫어서 가서 하니까,처음에는 배고팠는데 강에서 끓인 물을 마셨어요.
그 사람 오십 년을 해 가지고예,그 사람 오십 년을 해 가지고요,그 분은 오십 년 동안 살아오셨습니다.
방언 이거 데이터 하는 거 나가 정보를 가져오니까,방언 이거 데이터 하는 거 내가 정보를 가져오니까,"방언은 지역마다 사용되는 언어의 변형이며, 데이터를 수집하여 정보를 가져오는 것이 쉽지 않을 수 있습니다."
나가 말하난 아고 야,내가 말하니까 아고 야,"나가서 말하자, 아니야."
이거 막 잘해져서라 하멍 거난 잘해져서라,이거 엄청 잘해졌더라 하면서 그러니까 잘해졌더라,이것 막 잘되어서인가? 그냥 잘되어서인가?
이거 잘 잘해졌져 이거 이거 어디 강 돈 주고 받아도 이렇게 세밀하게,이거 잘 잘했어 이거 이거 어디 가서 돈 주고 받아도 이렇게 세밀하게,이건 정말 잘 만들어졌어요. 이 정도 세밀함은 어디서 돈을 주고 받아도 찾아보기 어렵겠네요.
그래 그렇게 깍듯하게 대우받으멍 건강검진 하고 어? 돈도 벌고,그래 그렇게 깍듯하게 대우받으면서 건강검진 하고 어? 돈도 벌고,그래요. 그렇게 명쾌하게 대우받고 건강검진 받으시고 어때요? 돈도 벌면서요.
어떤 내용이라?,어떤 내용인데?,어떤 내용인가요?
저것도 안 끝났는데 이렇게 생각하지 말아불고 그냥 내부러 그냥 냅두면은 다 알아서 잘 흘러가.,저것도 안 끝났는데 이렇게 생각하지 말고 그냥 냅둬 그냥 냅두면은 다 알아서 잘 흘러가.,그것도 끝나지 않은데 그런 생각은 하지 말고 그냥 내버려둬도 모든 것은 자연스럽게 잘 흘러갈 거야.
모르쿠다.,모르겠어.,모르겠다.
상관어서 하면서 막 이렇게 어서 이렇게 말도 좀 하고 해라 좀,상관없어 하면서 막 이렇게 없어 이렇게 말도 좀 하고 해라 좀,"상대방과 대화를 할 때, 예의를 갖추면서 이렇게 말씀하시고 행동하시는 게 좋습니다."
쓸 거.,쓸 거야.,쓸 것입니다.
이쁜디게,이쁜데,예쁘게
그날 밤 돌아올 거라 하멍 막 했주게 경합니까? 하멍 경허난 이제,그날 밤 돌아올 거야 하면서 막 했지 그럽니까? 하면서 그러니까 이제,그 날 밤 돌아올 거라고 하더니 막 혼란스러웠어요. 경쟁이 있나요? 이제는 경험이 많아졌죠.
경했댄 하는 거라 게난 자기는 무슨 소방 점검 와신디 그것도 나중에사 핸 알았지,그랬다고 하는 거야 그니까 자기는 무슨 소방 점검 왔는데 그것도 나중에야 해서 알았지,경찰서에서 하는 일이라고 생각했는데 나는 무슨 소방 점검인줄 알았다. 나중에야 알게 되었다.
써 붙이지 않애신가?,써 붙이지 않았나?,써 붙이지 않으시겠습니까?
뭐 고치잰하난 동의서 없으면 그 그 이거 인테리어 업자가 안 맡으켄 하니까,뭐 고치려니 동의서 없으면 그 그 이거 인테리어 업자가 안 맡겠다고 하니까,"뭐 고치잔 하나, 동의서가 없으면 그거 인테리어 업자가 맡기가 어렵다는 거야."
이제 커노니깐 클 때 까지 그 집을 해노난 엉망징창이 된거야,이제 크니깐 클 때 까지 그 집을 하니까 엉망징창이 된거야,이젠 커서니깐 큰 때까지 그 집을 정리해야겠다. 엉망진창이 된 것 같아.
예쁘게 하잰 돈을 많이 들어질건디 그게 아니고,예쁘게 하려고 돈을 많이 들건데 그게 아니고,예쁘게 하기 위해 많은 돈이 들어갈 것 같지만 그렇지 않아요.
낭마룬디 낭마루가 이렇게 세멘트 해 가지고 낭을 익혀야 되는데,나무마룬데 나무마루가 이렇게 세멘트 해 가지고 나무를 익혀야 되는데,낭마루가 이렇게 시멘트를 가져와 낭을 마루로 만들어야 하는데요.
맨날 이신 것도 아니 맨날 이신 것도 아니고 가끔 놀래와 갱으네,맨날 있는 것도 아니 맨날 있는 것도 아니고 가끔 놀러와 그래서,항상 그렇다는 것도 아니고 가끔 놀라거나 충격을 받는다.
