dialect,standard,response
ᄂᆞᆷ이 쉐든 ᄂᆞᆷ이 ᄆᆞᆯ이든 막 방목헹 내불민 게 .,남의 쇠든 남의 말이든 막 방목을 해서 내버리면 .,노랑이든 검정이든 막 상관없이 입는 게 좋아.
"아니 , 나는 나는 ᄄᆞᆫ 디 강 살고 , 집 상 강 ᄄᆞᆫ 디 강 살고 .","아니 , 나는 딴 데 가서 살고 집 사서 가서 딴 데 가서 살고 .","아니죠 , 저는 저는 강가에 살고 , 집 상 강가에 살고요 ."
ᄒᆞᆫ 집이 못 사는 사름 많아 .,한 집에 못 사는 사람 많아 .,건 집이 못 사는 사람이 많아.
"우리도 베 서도양 , 우리 아이덜 두건 백 개 사단 , 다 사단 .","우리도 베 있어도요 우리 아이들 두건 백 개 사다가 , 다 사다가 .","우리도 베서도 양 , 우리 아이들에게 백 개씩 산다 , 다 산다 ."
경허단에 안 판관도 안뒈고 .,그러다가 안 판관도 안되고 .,그냥 일이 안 풀리니까 망관도 못 했고.
"경허주게 , 경헌디 그 ᄉᆞ삼사건 후에 저 산 고지 간에 이젠 숫을 묻엇주 . 묻으난 허가 잘 아이 마탓젠 .","그렇지 , 그런데 그 사삼사건 후에 저 산 숲에 가서 이젠 숯을 묻었지 . 묻으니까 허가 잘 안 받았다고 .","경험 적으로 , 경험한 그 사건 후에 저 산 고지 간에 이제 숫을 심어 주었어 . 심은 건 내가 잘 아는데 말야 ."
"으 , 다간 날 때 다 사레 온다 . 두 설 뒐 때 사레 오면 거 ᄑᆞᆯ고 . 겨고 주로이 그 밧갈쉐라고 잇저 , 밧갈쉐 .","으 , 두습 될 때 다 사러 온다 . 두 살 될 때 사러 오면 거 팔고 . 그리고 주로 그 밧갈쉐라고 있어 , 밧갈쉐 .","으, 다음 날에 다 사러 온다. 두 설 뒤에 사러 오면 거 둘러. 그리고 주로이 그 밭갈쑤라고 하는데, 밭갈쑤."
"아 , ᄆᆞ루 대예 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 거라예 ? 아까 저기 ?","아 , 마루 대요 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 거지요 ? 아까 저기 ?","아 , 그렇게요 . 가운데 들어가는 건 . 아 그럼 세 개 만드는 건 똑같은 건가요 ? 아까 저기 ?"
"밥 , 식은밥을 헤 가지고 거기 놔 가지고이 이제 누르뜨난 경 뒈엇젠 .","밥 , 찬밥을 해 가지고 거기 놔 가지고 이제 누르니까 그렇게 되었다고 .","밥 , 식은밥을 가져가서 거기 놓고 이제 누르니까 경 뒀어요 ."
바당에 정 강 컷다근에 .,바다에 지어서 가서 잠갔다가 .,바닷가에서 정어리 잡았다가요 .
아 이듸 이듸 자리젓만 헹 먹언 . 자리젓 .,아 여기 여기 자리젓만 해서 먹었어 . 자리젓 .,아 이러다가 자리잡기만 하네 . 자리잡기.
"예 , 예 . 맞수다 . 보통 ᄎᆞᆯ레 옛날에 셍각 한 번 헤봅서 . ᄎᆞᆯ레 뭐 , 뭐 ᄎᆞᆯ령 먹엇수과 ? ᄎᆞᆯ레들 .","예 , 예 . 맞습니다 . 보통 반찬 옛날에 생각 한 번 해보십시오 반찬 뭐 , 뭐 차려서 먹었습니까 ? 반찬들 .","예, 맞아요. 보통 저희는 옛날에 새우각 한 번 해봤는데요. 새우각이란게 뭐였더라고요? 새우들."
"무신걸로 멘든 거라 , 그건 ?","무엇으로 만든 거야 , 그건 ?",무신경으로 만든 거라는 거죠 ?
사혼이엔 허믄 남자도 죽고 여자도 죽고 다헤근엥 헤주 . 구신으로 데 로오는 건데 .,사혼이라고 하면 남자도 죽고 여자도 죽고 다해서 하지 . 귀신으로 데려오는 건데 .,사혼에서는 남자도 죽고 여자도 죽고 모두 다 해주셔야 합니다 . 구신으로 가는 건데 .
또 ᄌᆞᆫ 자리 ᄒᆞᆯ 떼는 그보단 약허게 놓고 .,또 조그마한 자리 할 때는 그보다는 약하게 넣고 .,또 진지한 자리에서는 뜰 때는 그보다는 약하게 놓아야죠.
